"method","lower_bound","upper_bound","p_value"
"lsa_cv",0.0771311666013006,0.16146532462677,0.000125265529236521
"cv",0.0571612082412428,0.0902072128113887,3.32621375102757e-06
"one_tailed_test",0.0103194767161097,Inf,0.0209860539940121
